Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
3.22E+00,-1.04E+00,2.16E+01,-3.62E+01,4.21E+01
3.23E+00,-1.28E+00,2.17E+01,-3.60E+01,4.21E+01
3.24E+00,-1.24E+00,2.17E+01,-3.63E+01,4.23E+01
3.25E+00,-1.17E+00,2.16E+01,-3.62E+01,4.22E+01
3.26E+00,-1.26E+00,2.14E+01,-3.58E+01,4.18E+01
3.27E+00,-1.40E+00,2.15E+01,-3.61E+01,4.20E+01
3.28E+00,-1.13E+00,2.13E+01,-3.61E+01,4.20E+01
3.29E+00,-1.27E+00,2.13E+01,-3.59E+01,4.18E+01
3.30E+00,-1.10E+00,2.14E+01,-3.63E+01,4.21E+01
3.31E+00,-1.21E+00,2.15E+01,-3.60E+01,4.19E+01
3.32E+00,-1.23E+00,2.10E+01,-3.64E+01,4.20E+01
3.33E+00,-1.38E+00,2.12E+01,-3.62E+01,4.20E+01
3.34E+00,-1.30E+00,2.13E+01,-3.61E+01,4.20E+01
3.35E+00,-1.29E+00,2.14E+01,-3.63E+01,4.22E+01
3.36E+00,-1.29E+00,2.15E+01,-3.60E+01,4.20E+01
3.37E+00,-1.15E+00,2.16E+01,-3.63E+01,4.22E+01
3.38E+00,-1.07E+00,2.16E+01,-3.62E+01,4.21E+01
3.39E+00,-1.13E+00,2.17E+01,-3.60E+01,4.20E+01
3.40E+00,-1.19E+00,2.14E+01,-3.62E+01,4.20E+01
3.41E+00,-1.10E+00,2.14E+01,-3.57E+01,4.16E+01
3.42E+00,-1.13E+00,2.14E+01,-3.63E+01,4.22E+01
3.43E+00,-1.24E+00,2.16E+01,-3.61E+01,4.21E+01
3.44E+00,-1.29E+00,2.16E+01,-3.60E+01,4.20E+01
3.45E+00,-1.27E+00,2.16E+01,-3.65E+01,4.24E+01
3.46E+00,-1.54E+00,2.14E+01,-3.60E+01,4.19E+01
3.47E+00,-1.31E+00,2.13E+01,-3.62E+01,4.21E+01
3.48E+00,-1.43E+00,2.15E+01,-3.59E+01,4.19E+01
3.49E+00,-1.00E+00,2.17E+01,-3.61E+01,4.21E+01
3.50E+00,-1.05E+00,2.15E+01,-3.66E+01,4.25E+01
3.51E+00,-1.42E+00,2.14E+01,-3.61E+01,4.20E+01
3.52E+00,-1.33E+00,2.15E+01,-3.63E+01,4.22E+01
3.53E+00,-1.42E+00,2.15E+01,-3.64E+01,4.23E+01
3.54E+00,-1.26E+00,2.16E+01,-3.61E+01,4.21E+01
3.55E+00,-1.40E+00,2.13E+01,-3.66E+01,4.23E+01
3.56E+00,-1.62E+00,2.14E+01,-3.63E+01,4.22E+01
3.57E+00,-1.57E+00,2.14E+01,-3.64E+01,4.22E+01
3.58E+00,-1.39E+00,2.12E+01,-3.66E+01,4.23E+01
3.59E+00,-1.20E+00,2.13E+01,-3.61E+01,4.19E+01
3.60E+00,-1.34E+00,2.12E+01,-3.66E+01,4.23E+01
3.61E+00,-1.26E+00,2.15E+01,-3.63E+01,4.22E+01
3.62E+00,-1.37E+00,2.14E+01,-3.63E+01,4.22E+01
3.63E+00,-1.44E+00,2.13E+01,-3.64E+01,4.22E+01
3.64E+00,-1.47E+00,2.15E+01,-3.62E+01,4.21E+01
3.65E+00,-1.31E+00,2.13E+01,-3.62E+01,4.20E+01
3.66E+00,-1.45E+00,2.15E+01,-3.62E+01,4.21E+01
3.67E+00,-1.65E+00,2.14E+01,-3.64E+01,4.22E+01
3.68E+00,-1.47E+00,2.12E+01,-3.66E+01,4.23E+01
3.69E+00,-1.46E+00,2.13E+01,-3.64E+01,4.22E+01
3.70E+00,-1.47E+00,2.14E+01,-3.67E+01,4.25E+01
3.71E+00,-1.31E+00,2.15E+01,-3.63E+01,4.22E+01
3.72E+00,-1.27E+00,2.15E+01,-3.61E+01,4.20E+01
3.73E+00,-1.16E+00,2.18E+01,-3.62E+01,4.23E+01
3.74E+00,-1.30E+00,2.12E+01,-3.59E+01,4.17E+01
3.75E+00,-1.24E+00,2.14E+01,-3.65E+01,4.23E+01
3.76E+00,-1.19E+00,2.15E+01,-3.62E+01,4.21E+01
3.77E+00,-1.34E+00,2.14E+01,-3.62E+01,4.21E+01
3.78E+00,-1.24E+00,2.14E+01,-3.65E+01,4.23E+01
3.79E+00,-1.32E+00,2.11E+01,-3.62E+01,4.19E+01
3.80E+00,-1.19E+00,2.11E+01,-3.63E+01,4.20E+01
3.81E+00,-1.15E+00,2.11E+01,-3.61E+01,4.19E+01
3.82E+00,-1.34E+00,2.12E+01,-3.63E+01,4.20E+01
3.83E+00,-1.41E+00,2.13E+01,-3.65E+01,4.22E+01
3.84E+00,-1.76E+00,2.13E+01,-3.63E+01,4.21E+01
3.85E+00,-1.51E+00,2.14E+01,-3.66E+01,4.25E+01
3.86E+00,-1.43E+00,2.16E+01,-3.64E+01,4.23E+01
3.87E+00,-1.41E+00,2.16E+01,-3.66E+01,4.25E+01
3.88E+00,-1.48E+00,2.15E+01,-3.66E+01,4.25E+01
3.89E+00,-1.42E+00,2.16E+01,-3.62E+01,4.22E+01
