Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
3.90E+00,-1.42E+00,2.16E+01,-3.62E+01,4.22E+01
3.91E+00,-1.45E+00,2.17E+01,-3.67E+01,4.26E+01
3.92E+00,-1.34E+00,2.17E+01,-3.65E+01,4.25E+01
3.93E+00,-1.41E+00,2.17E+01,-3.63E+01,4.23E+01
3.94E+00,-1.29E+00,2.17E+01,-3.65E+01,4.25E+01
3.95E+00,-9.75E-01,2.16E+01,-3.67E+01,4.26E+01
3.96E+00,-9.86E-01,2.16E+01,-3.64E+01,4.23E+01
3.97E+00,-9.72E-01,2.17E+01,-3.63E+01,4.23E+01
3.98E+00,-7.39E-01,2.13E+01,-3.63E+01,4.21E+01
3.99E+00,-9.07E-01,2.16E+01,-3.60E+01,4.20E+01
4.00E+00,-1.08E+00,2.16E+01,-3.62E+01,4.22E+01
4.01E+00,-1.43E+00,2.16E+01,-3.60E+01,4.20E+01
4.02E+00,-1.32E+00,2.17E+01,-3.59E+01,4.20E+01
4.03E+00,-1.25E+00,2.17E+01,-3.63E+01,4.23E+01
4.04E+00,-1.24E+00,2.16E+01,-3.60E+01,4.20E+01
4.05E+00,-9.86E-01,2.20E+01,-3.62E+01,4.24E+01
4.06E+00,-1.30E+00,2.17E+01,-3.61E+01,4.22E+01
4.07E+00,-1.48E+00,2.16E+01,-3.59E+01,4.20E+01
4.09E+00,-1.20E+00,2.15E+01,-3.62E+01,4.22E+01
4.10E+00,-1.22E+00,2.16E+01,-3.56E+01,4.17E+01
4.11E+00,-1.04E+00,2.13E+01,-3.59E+01,4.18E+01
4.12E+00,-1.20E+00,2.15E+01,-3.62E+01,4.21E+01
4.13E+00,-1.08E+00,2.14E+01,-3.62E+01,4.20E+01
4.14E+00,-1.17E+00,2.14E+01,-3.65E+01,4.23E+01
4.15E+00,-1.04E+00,2.13E+01,-3.62E+01,4.20E+01
4.16E+00,-9.24E-01,2.14E+01,-3.64E+01,4.23E+01
4.17E+00,-8.14E-01,2.15E+01,-3.69E+01,4.27E+01
4.18E+00,-7.97E-01,2.17E+01,-3.63E+01,4.23E+01
4.19E+00,-7.75E-01,2.17E+01,-3.64E+01,4.24E+01
4.20E+00,-6.92E-01,2.17E+01,-3.58E+01,4.19E+01
4.21E+00,-9.24E-01,2.18E+01,-3.58E+01,4.20E+01
4.22E+00,-9.49E-01,2.18E+01,-3.62E+01,4.23E+01
4.23E+00,-9.84E-01,2.16E+01,-3.56E+01,4.16E+01
4.24E+00,-1.03E+00,2.15E+01,-3.60E+01,4.19E+01
4.25E+00,-1.16E+00,2.14E+01,-3.61E+01,4.20E+01
4.26E+00,-8.92E-01,2.13E+01,-3.58E+01,4.17E+01
4.27E+00,-9.41E-01,2.15E+01,-3.63E+01,4.22E+01
4.28E+00,-8.08E-01,2.15E+01,-3.60E+01,4.20E+01
4.29E+00,-8.61E-01,2.17E+01,-3.65E+01,4.25E+01
4.30E+00,-1.04E+00,2.16E+01,-3.61E+01,4.20E+01
4.31E+00,-1.11E+00,2.16E+01,-3.60E+01,4.20E+01
4.32E+00,-1.01E+00,2.15E+01,-3.61E+01,4.20E+01
4.33E+00,-9.28E-01,2.15E+01,-3.56E+01,4.16E+01
4.34E+00,-1.02E+00,2.15E+01,-3.58E+01,4.17E+01
4.35E+00,-1.10E+00,2.13E+01,-3.58E+01,4.17E+01
4.36E+00,-1.07E+00,2.15E+01,-3.53E+01,4.14E+01
4.37E+00,-8.55E-01,2.12E+01,-3.56E+01,4.15E+01
4.38E+00,-8.64E-01,2.15E+01,-3.52E+01,4.12E+01
4.39E+00,-9.50E-01,2.16E+01,-3.56E+01,4.17E+01
4.40E+00,-1.09E+00,2.15E+01,-3.59E+01,4.19E+01
4.41E+00,-8.67E-01,2.16E+01,-3.55E+01,4.15E+01
4.42E+00,-8.78E-01,2.17E+01,-3.58E+01,4.19E+01
4.43E+00,-9.51E-01,2.15E+01,-3.52E+01,4.13E+01
4.44E+00,-6.94E-01,2.16E+01,-3.58E+01,4.18E+01
4.45E+00,-8.64E-01,2.18E+01,-3.57E+01,4.18E+01
4.46E+00,-9.05E-01,2.17E+01,-3.56E+01,4.17E+01
4.47E+00,-7.93E-01,2.17E+01,-3.57E+01,4.18E+01
4.48E+00,-8.05E-01,2.16E+01,-3.56E+01,4.16E+01
4.49E+00,-9.14E-01,2.16E+01,-3.55E+01,4.16E+01
4.50E+00,-1.02E+00,2.16E+01,-3.60E+01,4.20E+01
4.51E+00,-1.01E+00,2.19E+01,-3.56E+01,4.18E+01
4.52E+00,-1.10E+00,2.18E+01,-3.60E+01,4.21E+01
4.53E+00,-1.24E+00,2.18E+01,-3.57E+01,4.19E+01
4.54E+00,-1.09E+00,2.19E+01,-3.57E+01,4.19E+01
4.55E+00,-1.04E+00,2.17E+01,-3.63E+01,4.23E+01
4.56E+00,-1.01E+00,2.18E+01,-3.55E+01,4.17E+01
4.57E+00,-9.76E-01,2.16E+01,-3.59E+01,4.19E+01
4.58E+00,-1.06E+00,2.16E+01,-3.56E+01,4.17E+01
4.59E+00,-9.52E-01,2.16E+01,-3.61E+01,4.20E+01
4.60E+00,-1.05E+00,2.14E+01,-3.60E+01,4.19E+01
4.61E+00,-1.10E+00,2.16E+01,-3.59E+01,4.19E+01
4.62E+00,-9.96E-01,2.13E+01,-3.58E+01,4.17E+01
4.63E+00,-1.11E+00,2.15E+01,-3.56E+01,4.16E+01
4.64E+00,-1.02E+00,2.14E+01,-3.63E+01,4.21E+01
4.65E+00,-9.90E-01,2.15E+01,-3.63E+01,4.22E+01
4.66E+00,-1.07E+00,2.15E+01,-3.59E+01,4.18E+01
4.67E+00,-7.92E-01,2.15E+01,-3.64E+01,4.23E+01
4.68E+00,-9.41E-01,2.15E+01,-3.63E+01,4.22E+01
4.69E+00,-9.74E-01,2.15E+01,-3.62E+01,4.21E+01
4.70E+00,-8.75E-01,2.16E+01,-3.63E+01,4.22E+01
4.71E+00,-1.14E+00,2.15E+01,-3.56E+01,4.17E+01
4.72E+00,-1.16E+00,2.15E+01,-3.63E+01,4.21E+01
4.73E+00,-1.26E+00,2.13E+01,-3.60E+01,4.18E+01
4.74E+00,-1.09E+00,2.15E+01,-3.61E+01,4.21E+01
4.75E+00,-1.21E+00,2.16E+01,-3.62E+01,4.22E+01
4.76E+00,-1.39E+00,2.15E+01,-3.57E+01,4.17E+01
4.77E+00,-1.14E+00,2.14E+01,-3.62E+01,4.21E+01
4.78E+00,-1.12E+00,2.15E+01,-3.60E+01,4.19E+01
4.79E+00,-9.80E-01,2.17E+01,-3.59E+01,4.19E+01
4.80E+00,-9.11E-01,2.16E+01,-3.66E+01,4.24E+01
4.81E+00,-1.09E+00,2.15E+01,-3.63E+01,4.22E+01
4.82E+00,-1.09E+00,2.16E+01,-3.62E+01,4.21E+01
4.83E+00,-1.26E+00,2.15E+01,-3.62E+01,4.22E+01
4.84E+00,-1.28E+00,2.15E+01,-3.60E+01,4.20E+01
4.85E+00,-1.40E+00,2.14E+01,-3.65E+01,4.23E+01
4.86E+00,-1.25E+00,2.16E+01,-3.55E+01,4.16E+01
4.87E+00,-1.09E+00,2.18E+01,-3.62E+01,4.22E+01
4.88E+00,-1.31E+00,2.15E+01,-3.62E+01,4.21E+01
4.89E+00,-1.23E+00,2.16E+01,-3.61E+01,4.21E+01
4.90E+00,-1.11E+00,2.15E+01,-3.65E+01,4.24E+01
4.91E+00,-1.13E+00,2.14E+01,-3.58E+01,4.17E+01
4.92E+00,-1.09E+00,2.15E+01,-3.65E+01,4.24E+01
4.93E+00,-1.40E+00,2.15E+01,-3.62E+01,4.21E+01
4.94E+00,-1.46E+00,2.14E+01,-3.59E+01,4.18E+01
4.95E+00,-1.26E+00,2.13E+01,-3.61E+01,4.20E+01
4.96E+00,-1.31E+00,2.12E+01,-3.60E+01,4.19E+01
4.97E+00,-1.26E+00,2.13E+01,-3.59E+01,4.18E+01
4.98E+00,-1.26E+00,2.13E+01,-3.61E+01,4.20E+01
4.99E+00,-1.45E+00,2.15E+01,-3.62E+01,4.21E+01
5.00E+00,-1.50E+00,2.15E+01,-3.62E+01,4.21E+01
5.01E+00,-1.29E+00,2.16E+01,-3.61E+01,4.21E+01
5.02E+00,-1.19E+00,2.16E+01,-3.61E+01,4.21E+01
5.03E+00,-1.07E+00,2.15E+01,-3.62E+01,4.22E+01
5.04E+00,-1.07E+00,2.13E+01,-3.58E+01,4.17E+01
5.05E+00,-1.27E+00,2.13E+01,-3.62E+01,4.20E+01
5.06E+00,-1.08E+00,2.16E+01,-3.60E+01,4.20E+01
5.07E+00,-1.19E+00,2.14E+01,-3.63E+01,4.21E+01
5.08E+00,-1.44E+00,2.14E+01,-3.65E+01,4.24E+01
5.09E+00,-1.16E+00,2.13E+01,-3.63E+01,4.21E+01
5.10E+00,-1.04E+00,2.13E+01,-3.68E+01,4.26E+01
5.11E+00,-1.07E+00,2.14E+01,-3.64E+01,4.22E+01
5.12E+00,-9.72E-01,2.12E+01,-3.64E+01,4.21E+01
5.13E+00,-1.15E+00,2.13E+01,-3.65E+01,4.23E+01
5.14E+00,-1.23E+00,2.15E+01,-3.62E+01,4.21E+01
5.15E+00,-1.30E+00,2.16E+01,-3.67E+01,4.26E+01
5.16E+00,-1.39E+00,2.16E+01,-3.60E+01,4.20E+01
5.17E+00,-1.17E+00,2.16E+01,-3.63E+01,4.23E+01
5.18E+00,-1.24E+00,2.17E+01,-3.65E+01,4.25E+01
5.19E+00,-1.30E+00,2.19E+01,-3.60E+01,4.21E+01
5.20E+00,-1.26E+00,2.14E+01,-3.62E+01,4.20E+01
5.21E+00,-1.28E+00,2.13E+01,-3.59E+01,4.18E+01
5.22E+00,-1.25E+00,2.15E+01,-3.58E+01,4.18E+01
5.23E+00,-1.25E+00,2.16E+01,-3.62E+01,4.22E+01
5.24E+00,-1.28E+00,2.16E+01,-3.58E+01,4.18E+01
5.25E+00,-1.30E+00,2.17E+01,-3.63E+01,4.23E+01
5.26E+00,-1.21E+00,2.18E+01,-3.60E+01,4.21E+01
5.27E+00,-1.37E+00,2.19E+01,-3.58E+01,4.20E+01
5.28E+00,-1.47E+00,2.17E+01,-3.62E+01,4.22E+01
5.29E+00,-1.50E+00,2.16E+01,-3.61E+01,4.21E+01
5.30E+00,-1.33E+00,2.16E+01,-3.65E+01,4.24E+01
5.31E+00,-1.40E+00,2.17E+01,-3.59E+01,4.20E+01
5.32E+00,-1.20E+00,2.19E+01,-3.61E+01,4.22E+01
5.33E+00,-1.17E+00,2.17E+01,-3.63E+01,4.23E+01
5.34E+00,-1.08E+00,2.16E+01,-3.57E+01,4.18E+01
5.35E+00,-1.10E+00,2.17E+01,-3.58E+01,4.18E+01
5.36E+00,-1.05E+00,2.18E+01,-3.56E+01,4.18E+01
5.37E+00,-1.13E+00,2.17E+01,-3.54E+01,4.15E+01
5.38E+00,-1.12E+00,2.19E+01,-3.58E+01,4.20E+01
5.39E+00,-1.14E+00,2.16E+01,-3.50E+01,4.12E+01
5.40E+00,-1.11E+00,2.17E+01,-3.59E+01,4.19E+01
5.41E+00,-8.46E-01,2.15E+01,-3.58E+01,4.18E+01
5.42E+00,-8.39E-01,2.15E+01,-3.57E+01,4.17E+01
5.43E+00,-9.37E-01,2.16E+01,-3.63E+01,4.23E+01
5.44E+00,-7.54E-01,2.16E+01,-3.60E+01,4.20E+01
5.45E+00,-1.13E+00,2.16E+01,-3.64E+01,4.24E+01
5.46E+00,-1.19E+00,2.16E+01,-3.62E+01,4.22E+01
5.47E+00,-1.11E+00,2.16E+01,-3.56E+01,4.16E+01
5.48E+00,-9.90E-01,2.17E+01,-3.63E+01,4.23E+01
5.49E+00,-1.16E+00,2.17E+01,-3.59E+01,4.19E+01
5.50E+00,-1.11E+00,2.17E+01,-3.57E+01,4.18E+01
5.51E+00,-9.61E-01,2.15E+01,-3.57E+01,4.17E+01
5.52E+00,-7.97E-01,2.13E+01,-3.61E+01,4.20E+01
5.53E+00,-8.73E-01,2.13E+01,-3.61E+01,4.19E+01
5.54E+00,-7.36E-01,2.13E+01,-3.56E+01,4.15E+01
5.55E+00,-7.23E-01,2.15E+01,-3.57E+01,4.16E+01
5.56E+00,-8.20E-01,2.17E+01,-3.58E+01,4.19E+01
5.57E+00,-8.88E-01,2.18E+01,-3.53E+01,4.15E+01
5.58E+00,-9.20E-01,2.17E+01,-3.59E+01,4.20E+01
5.59E+00,-7.91E-01,2.16E+01,-3.56E+01,4.16E+01
5.60E+00,-8.29E-01,2.19E+01,-3.59E+01,4.20E+01
5.61E+00,-8.19E-01,2.18E+01,-3.59E+01,4.20E+01
5.62E+00,-6.48E-01,2.16E+01,-3.55E+01,4.15E+01
5.63E+00,-7.23E-01,2.16E+01,-3.60E+01,4.20E+01
5.64E+00,-7.03E-01,2.18E+01,-3.61E+01,4.22E+01
5.65E+00,-3.36E-01,2.13E+01,-3.61E+01,4.19E+01
5.66E+00,-5.31E-01,2.11E+01,-3.61E+01,4.18E+01
5.68E+00,-5.51E-01,2.14E+01,-3.57E+01,4.16E+01
5.69E+00,-2.85E-01,2.14E+01,-3.63E+01,4.21E+01
5.70E+00,-3.57E-01,2.13E+01,-3.62E+01,4.20E+01
5.71E+00,-4.75E-01,2.16E+01,-3.62E+01,4.21E+01
5.72E+00,-1.21E-01,2.16E+01,-3.65E+01,4.24E+01
5.73E+00,-5.46E-02,2.16E+01,-3.61E+01,4.20E+01
5.74E+00,-1.85E-01,2.16E+01,-3.62E+01,4.21E+01
5.75E+00,-1.57E-02,2.15E+01,-3.58E+01,4.18E+01
5.76E+00,-2.28E-02,2.17E+01,-3.61E+01,4.21E+01
5.77E+00,4.63E-02,2.16E+01,-3.59E+01,4.19E+01
5.78E+00,7.74E-02,2.14E+01,-3.57E+01,4.16E+01
5.79E+00,1.08E-01,2.11E+01,-3.63E+01,4.20E+01
5.80E+00,1.30E-01,2.13E+01,-3.62E+01,4.20E+01
5.81E+00,1.10E-01,2.11E+01,-3.59E+01,4.17E+01
5.82E+00,1.13E-01,2.12E+01,-3.64E+01,4.22E+01
5.83E+00,3.31E-02,2.13E+01,-3.60E+01,4.19E+01
5.84E+00,2.88E-01,2.14E+01,-3.64E+01,4.22E+01
5.85E+00,3.05E-01,2.15E+01,-3.67E+01,4.25E+01
5.86E+00,3.51E-01,2.13E+01,-3.61E+01,4.19E+01
5.87E+00,4.61E-01,2.12E+01,-3.64E+01,4.21E+01
5.88E+00,5.58E-01,2.14E+01,-3.55E+01,4.14E+01
5.89E+00,6.77E-01,2.14E+01,-3.60E+01,4.19E+01
5.90E+00,6.54E-01,2.12E+01,-3.62E+01,4.19E+01
5.91E+00,6.59E-01,2.11E+01,-3.57E+01,4.15E+01
5.92E+00,9.14E-01,2.08E+01,-3.64E+01,4.20E+01
5.93E+00,7.39E-01,2.09E+01,-3.61E+01,4.17E+01
5.94E+00,9.37E-01,2.09E+01,-3.62E+01,4.18E+01
5.95E+00,8.66E-01,2.10E+01,-3.67E+01,4.23E+01
5.96E+00,1.09E+00,2.08E+01,-3.63E+01,4.18E+01
5.97E+00,9.07E-01,2.10E+01,-3.65E+01,4.22E+01
5.98E+00,7.90E-01,2.10E+01,-3.63E+01,4.20E+01
5.99E+00,9.13E-01,2.10E+01,-3.68E+01,4.24E+01
6.00E+00,1.02E+00,2.09E+01,-3.66E+01,4.21E+01
6.01E+00,9.53E-01,2.09E+01,-3.66E+01,4.22E+01
6.02E+00,7.49E-01,2.07E+01,-3.67E+01,4.22E+01
6.03E+00,7.69E-01,2.08E+01,-3.64E+01,4.20E+01
6.04E+00,6.53E-01,2.06E+01,-3.65E+01,4.19E+01
6.05E+00,5.38E-01,2.05E+01,-3.66E+01,4.20E+01
6.06E+00,6.22E-01,2.07E+01,-3.62E+01,4.17E+01
6.07E+00,7.36E-01,2.07E+01,-3.64E+01,4.19E+01
6.08E+00,7.48E-01,2.06E+01,-3.63E+01,4.17E+01
6.09E+00,5.28E-01,2.07E+01,-3.68E+01,4.22E+01
6.10E+00,2.42E-01,2.09E+01,-3.68E+01,4.23E+01
6.11E+00,3.87E-01,2.09E+01,-3.65E+01,4.21E+01
6.12E+00,3.88E-01,2.08E+01,-3.65E+01,4.20E+01
6.13E+00,1.56E-01,2.07E+01,-3.64E+01,4.19E+01
6.14E+00,9.59E-02,2.05E+01,-3.66E+01,4.19E+01
6.15E+00,7.21E-02,2.04E+01,-3.70E+01,4.22E+01
6.16E+00,5.76E-02,2.04E+01,-3.66E+01,4.19E+01
6.17E+00,1.32E-01,2.04E+01,-3.70E+01,4.22E+01
6.18E+00,1.96E-01,2.04E+01,-3.67E+01,4.19E+01
6.19E+00,3.64E-02,2.04E+01,-3.68E+01,4.21E+01
6.20E+00,1.86E-01,2.02E+01,-3.70E+01,4.22E+01
6.21E+00,4.77E-02,2.05E+01,-3.69E+01,4.22E+01
6.22E+00,-9.25E-03,2.01E+01,-3.72E+01,4.23E+01
6.23E+00,-1.34E-01,2.02E+01,-3.66E+01,4.18E+01
6.24E+00,-2.77E-01,2.04E+01,-3.67E+01,4.20E+01
6.25E+00,-3.48E-01,2.03E+01,-3.72E+01,4.24E+01
6.26E+00,-3.88E-01,2.04E+01,-3.68E+01,4.20E+01
6.27E+00,-3.08E-01,2.03E+01,-3.71E+01,4.23E+01
6.28E+00,-3.32E-01,2.04E+01,-3.68E+01,4.21E+01
6.29E+00,-3.78E-01,2.06E+01,-3.66E+01,4.20E+01
6.30E+00,-3.56E-01,2.02E+01,-3.70E+01,4.21E+01
6.31E+00,-1.76E-01,2.04E+01,-3.66E+01,4.19E+01
6.32E+00,-2.33E-01,2.05E+01,-3.67E+01,4.21E+01
6.33E+00,-1.45E-01,2.04E+01,-3.63E+01,4.16E+01
6.34E+00,4.45E-02,2.03E+01,-3.62E+01,4.16E+01
6.35E+00,1.15E-01,2.05E+01,-3.67E+01,4.20E+01
6.36E+00,1.52E-01,2.03E+01,-3.65E+01,4.18E+01
6.37E+00,-1.96E-01,2.06E+01,-3.67E+01,4.20E+01
6.38E+00,-1.43E-01,2.03E+01,-3.63E+01,4.16E+01
6.39E+00,-2.52E-02,2.05E+01,-3.61E+01,4.15E+01
6.40E+00,-1.91E-01,2.02E+01,-3.66E+01,4.18E+01
6.41E+00,-1.92E-01,2.01E+01,-3.64E+01,4.16E+01
6.42E+00,9.72E-02,2.03E+01,-3.67E+01,4.19E+01
6.43E+00,1.20E-01,2.03E+01,-3.64E+01,4.16E+01
6.44E+00,-2.35E-01,2.02E+01,-3.64E+01,4.16E+01
6.45E+00,-8.49E-03,2.01E+01,-3.66E+01,4.17E+01
6.46E+00,-2.12E-02,2.01E+01,-3.64E+01,4.15E+01
6.47E+00,7.23E-03,2.00E+01,-3.66E+01,4.18E+01
6.48E+00,-6.16E-02,2.00E+01,-3.70E+01,4.21E+01
6.49E+00,-1.72E-02,1.99E+01,-3.68E+01,4.18E+01
6.50E+00,-1.74E-01,1.98E+01,-3.70E+01,4.19E+01
6.51E+00,8.57E-02,1.97E+01,-3.64E+01,4.14E+01
6.52E+00,-1.71E-02,1.97E+01,-3.68E+01,4.17E+01
6.53E+00,3.48E-01,1.97E+01,-3.69E+01,4.18E+01
6.54E+00,4.80E-01,1.98E+01,-3.67E+01,4.17E+01
6.55E+00,2.99E-01,2.00E+01,-3.70E+01,4.20E+01
6.56E+00,1.49E-01,2.01E+01,-3.67E+01,4.19E+01
6.57E+00,1.11E-01,2.00E+01,-3.70E+01,4.21E+01
6.58E+00,2.31E-01,2.01E+01,-3.72E+01,4.22E+01
6.59E+00,1.37E-03,1.97E+01,-3.66E+01,4.16E+01
6.60E+00,-1.62E-01,1.97E+01,-3.74E+01,4.23E+01
6.61E+00,-2.04E-01,1.97E+01,-3.69E+01,4.18E+01
6.62E+00,-2.59E-01,1.96E+01,-3.72E+01,4.20E+01
